entry_time,exit_time,side,exit_reason,beta,entry_z,exit_z,eth_qty,btc_qty,entry_eth,exit_eth,entry_btc,exit_btc,gross_pnl,funding_pnl,fee_cost,slippage_cost,net_pnl,holding_bars
2025-11-29 18:00:00,2025-12-01 13:00:00,LONG_SPREAD,MEAN_REVERT,1.1952873832991038,-2.048244306520576,0.032163515983847826,0.6033160706248292,0.023686295413297198,2968.64,2819.52,90381.1,85396.3,28.104952924629487,-0.015185958071440908,3.0622421482916478,1.5311210741458239,23.496403744120574,43
2025-12-02 10:00:00,2025-12-02 17:00:00,SHORT_SPREAD,MEAN_REVERT,1.267133108391406,1.608004774170219,-0.46428189949207216,0.3207069042746472,0.013102963251547781,2796.6,2994.09,86734.4,90713.8,-11.194474561990802,-0.008253757592577363,1.6728846028669833,0.8364423014334916,-13.712055223883853,7
2025-12-03 16:00:00,2025-12-05 05:00:00,SHORT_SPREAD,MEAN_REVERT,1.2408740236337823,2.0327824775333907,-0.06061634682072013,0.5216691309565761,0.021627111983252335,3084.84,3167.18,92333.0,91985.6,-50.46749494594605,-0.04542967043492807,2.899105937167771,1.4495529685838855,-54.861583522132634,37
2025-12-05 17:00:00,2025-12-06 03:00:00,SHORT_SPREAD,MEAN_REVERT,1.0521958118841108,2.1692375141589104,-0.02120505662648955,0.23381750454043426,0.008403357322403314,3031.69,3027.91,88757.6,89354.7,5.901474824369834,0.0,1.1654327403713245,0.5827163701856622,4.153325713812848,10
2025-12-06 16:00:00,2025-12-08 16:00:00,LONG_SPREAD,TIME_STOP,1.2231737435345564,-1.6643166253212756,-0.9917509291797393,0.2704127544267858,0.011208470659517463,3040.1,3099.69,89713.3,89912.7,13.87892698678449,0.02990821923611192,1.4694441104754077,0.7347220552377038,11.704669040307492,48
2025-12-09 19:00:00,2025-12-10 16:00:00,LONG_SPREAD,MEAN_REVERT,1.5972068575712082,-3.4515985576327193,0.6187078374679552,1.604527918866346,0.09212000612453936,3374.83,3326.63,93887.2,92021.8,94.50241373535759,0.0,11.15144715430922,5.57572357715461,77.77524300389376,21
2025-12-10 17:00:00,2025-12-11 17:00:00,SHORT_SPREAD,MEAN_REVERT,1.4911524649021035,1.5040481183417225,-0.41212061289432395,0.20639552611387185,0.011191327939204517,3350.0,3173.89,92126.7,89704.2,9.237324171191059,-0.027591194806493413,1.352572376095892,0.676286188047946,7.180874412240726,24
2025-12-12 17:00:00,2025-12-12 18:00:00,LONG_SPREAD,MEAN_REVERT,1.5628835403398833,-3.084511261236271,0.908159808182778,0.9413875973430081,0.0501542575569173,3067.89,3064.77,89996.8,90043.9,-5.299394834640449,0.0,5.921207080499702,2.960603540249851,-14.181205455390002,1
2025-12-14 20:00:00,2025-12-15 17:00:00,LONG_SPREAD,MEAN_REVERT,1.5123264772333669,-2.5356280996188256,1.6385271935672743,1.6824000910655665,0.08879123963611399,3091.88,2987.48,88598.7,86360.6,23.081103922340645,-0.4173745140652505,10.30510758019485,5.152553790097425,7.206068037983119,21
2025-12-15 18:00:00,2025-12-17 18:00:00,SHORT_SPREAD,TIME_STOP,1.3898003629524616,1.77920729311554,3.2677718755119223,0.10837298681504028,0.0051568931541607415,2935.41,2846.38,85734.2,86380.7,12.982378440307928,-0.052504977375750606,0.605667200390557,0.3028336001952785,12.02137266234634,48
2025-12-17 19:00:00,2025-12-18 19:00:00,SHORT_SPREAD,MEAN_REVERT,1.1334094076376215,2.9749600937658873,-0.027592961582201706,0.3717673218665249,0.01381311950041653,2812.56,2826.0,85796.2,85946.7,-2.917678321073427,0.0,1.7874150205727195,0.8937075102863598,-5.5988008519325065,24
2025-12-20 20:00:00,2025-12-21 19:00:00,LONG_SPREAD,MEAN_REVERT,1.3640902211144832,-3.1839093595333914,1.726044911969043,0.6648020832702014,0.030605586694124942,2976.57,2986.97,88196.4,88406.8,0.4745262255656977,0.3256977630012438,3.7478473454900247,1.8739236727450124,-4.821547029668095,23
2025-12-21 20:00:00,2025-12-23 15:00:00,SHORT_SPREAD,MEAN_REVERT,1.1510366951192734,1.6921207632959738,-0.034383738029371565,0.12130613795086499,0.004719305670638188,2989.48,2916.16,88448.3,86837.2,1.290892668592229,-0.02115529049571234,0.6174464938635187,0.30872324693175934,0.3435676373012386,43
2025-12-24 03:00:00,2025-12-26 03:00:00,LONG_SPREAD,TIME_STOP,1.1601664782777728,-1.5500129188040488,-2.4309436743130357,0.16878470546108384,0.00659612592463464,2933.96,2972.35,87100.1,89151.8,-7.053626716921885,0.008055926696344272,0.8637898082271867,0.4318949041135933,-8.34125550256632,48
2025-12-26 20:00:00,2025-12-28 20:00:00,SHORT_SPREAD,TIME_STOP,1.1075156341937906,1.6520108876702706,1.4762519107251888,0.193081089658298,0.007150938517394942,2924.5,2932.18,87453.7,87488.7,-1.2325799204668741,-0.045693106660381066,0.9527266010661896,0.4763633005330948,-2.7073629287265395,48
2025-12-28 21:00:00,2025-12-29 04:00:00,SHORT_SPREAD,STOP_LOSS,1.0723178998726037,1.5433413998945413,-5.40568637803484,0.9306939110814844,0.03344063844872526,2931.19,3042.3,87478.2,90091.5,-16.018980002210014,0.0,4.599013963221899,2.2995069816109495,-22.917500947042864,7
2025-12-29 07:00:00,2025-12-29 11:00:00,LONG_SPREAD,MEAN_REVERT,1.1477025890428043,-3.5127428811963406,1.1235283363861082,2.7016795566973775,0.1048657992970024,3035.01,2965.11,89740.7,87747.2,20.20256988542735,0.0,13.929124816311,6.9645624081555,-0.6911173390391498,4
2025-12-29 16:00:00,2025-12-30 10:00:00,SHORT_SPREAD,MEAN_REVERT,0.984065656876257,3.680624549036075,-0.3296798625667737,2.6460892836897125,0.08717804196604062,2934.02,2984.55,87636.4,87954.7,-105.95812074705073,0.0,12.387501174572263,6.193750587286131,-124.53937250890912,18
2025-12-30 19:00:00,2026-01-01 19:00:00,SHORT_SPREAD,TIME_STOP,0.9832874482172761,1.7125881679240094,1.489119364596835,0.22300694395075482,0.007380163638161884,2970.5,2989.04,88259.7,88165.2,-4.831974204653284,0.0,1.0524253738394513,0.5262126869197257,-6.410612265412461,48
2026-01-01 20:00:00,2026-01-02 16:00:00,SHORT_SPREAD,MEAN_REVERT,0.8223874129147908,2.7370082005087686,-1.9475957627667453,0.43514134816616523,0.012126628123065893,2994.08,3085.09,88354.8,89373.0,-27.254881341697136,0.07871611429799438,1.9202148669047747,0.9601074334523874,-30.056487527756303,20
2026-01-02 17:00:00,2026-01-04 17:00:00,LONG_SPREAD,TIME_STOP,0.9716156527059331,-1.96834868223186,-0.43214591838871663,0.23064013582987025,0.007766356213596661,3130.68,3137.9,90333.9,91282.3,-5.700390452283419,0.05899822451273064,1.1425128984080888,0.5712564492040444,-7.355161575382821,48
2026-01-05 12:00:00,2026-01-06 19:00:00,SHORT_SPREAD,MEAN_REVERT,1.075991861436664,1.535791501902884,-0.06808015223263195,0.27042437383118334,0.009935975857991056,3178.88,3217.56,93093.3,92006.4,-21.259426939840694,0.016983416782790653,1.4275597729080487,0.7137798864540243,-23.383783182419975,31
2026-01-07 11:00:00,2026-01-09 10:00:00,LONG_SPREAD,MEAN_REVERT,1.1674829607153043,-2.920533820817235,0.14932674368400126,0.5978718181855469,0.02442400348392875,3216.53,3091.0,91924.1,90299.1,-35.361843675447595,0.310890485769906,3.2886858004050112,1.6443429002025056,-39.98398189028521,47
2026-01-09 17:00:00,2026-01-09 18:00:00,SHORT_SPREAD,MEAN_REVERT,1.16687997933472,2.497935971550532,-1.269442937741486,1.1396553089533055,0.045475848202608776,3132.05,3113.04,91589.9,91372.9,11.796588363236479,0.0,6.175055397166187,3.0875276985830933,2.534005267487199,1
2026-01-09 21:00:00,2026-01-11 21:00:00,SHORT_SPREAD,TIME_STOP,1.1725815461448177,1.910035767591414,1.0005101604222684,0.7768598790204535,0.031002333225750054,3072.3,3113.94,90272.4,90654.2,-20.51175453682012,0.14949217665433456,4.1659953602373925,2.0829976801186962,-26.611255400521877,48
2026-01-12 01:00:00,2026-01-14 00:00:00,SHORT_SPREAD,STOP_LOSS,1.097070204228182,1.5476488724159776,-5.180842588492633,0.4467195706765993,0.016754336580678698,3118.83,3324.68,91229.2,95375.2,-22.493744160284038,0.16312644540359084,2.4019499783543896,1.2009749891771948,-25.93354268241203,47
2026-01-14 02:00:00,2026-01-15 21:00:00,LONG_SPREAD,MEAN_REVERT,1.2423830735582362,-3.4981256090001276,0.32394299248491965,0.5826192001681508,0.0253606616558191,3335.17,3286.53,95191.4,95220.8,-29.084201348860084,-0.11297293286860692,3.474763574837441,1.7373817874187205,-34.40931964398485,43
2026-01-17 02:00:00,2026-01-18 20:00:00,SHORT_SPREAD,MEAN_REVERT,0.9982258325239347,3.938346489427364,-1.3640575519409786,6.20415489788535,0.21365700547667973,3289.27,3345.36,95344.1,95335.6,-349.807132768942,-1.4801190149373333,32.7609303669395,16.38046518346975,-400.42864733428854,42
2026-01-18 21:00:00,2026-01-20 21:00:00,LONG_SPREAD,TIME_STOP,1.2237086644179385,-2.4422073372040494,-0.8263667615585794,0.1239312388106619,0.0053170108126051946,3339.77,3005.64,95259.4,89700.8,-11.854008520859285,0.0,0.7079319621452725,0.35396598107263627,-12.915906464077194,48
2026-01-21 23:00:00,2026-01-23 23:00:00,LONG_SPREAD,MEAN_REVERT,1.4036657418635459,-3.4880137759873824,0.17884817595154584,1.1821790270533765,0.055642420933797905,3008.77,2958.76,89728.4,89585.4,-51.16390694940598,0.0672406837328974,6.812857099260275,3.4064285496301374,-61.31595191456349,48
2026-01-24 07:00:00,2026-01-24 21:00:00,LONG_SPREAD,MEAN_REVERT,1.4671374969288982,-2.3644144261015287,0.8274046570955024,2.38784245789132,0.11572012455326285,2960.06,2955.04,89612.4,89333.7,20.264229574379634,0.0,13.932796761197428,6.966398380598714,-0.6349655674165087,14
2026-01-25 03:00:00,2026-01-26 03:00:00,SHORT_SPREAD,MEAN_REVERT,1.357438081891519,1.7792912901290956,-0.03555209920579331,0.17280133666352937,0.007771229676796627,2952.06,2864.66,89105.1,87514.7,2.7434731464150595,-0.0976864366181866,0.9510760089069478,0.4755380044534739,1.2191726964364515,24
2026-01-27 18:00:00,2026-01-28 13:00:00,LONG_SPREAD,MEAN_REVERT,1.4732597856875969,-2.4416704722648244,0.325094998306548,0.5068074745010552,0.024989998745827652,2928.89,3029.79,87510.3,89954.9,-9.953676756893543,0.00041009355771631784,2.981903475035201,1.4909517375176005,-14.426121875888628,19
2026-01-28 19:00:00,2026-01-30 19:00:00,SHORT_SPREAD,TIME_STOP,1.3683462436299814,1.5200709701692576,1.729498111671296,0.21192713734065408,0.00976497291869497,3013.81,2739.26,89500.9,83897.3,3.465593309677473,-0.09235705968687907,1.1649841532683405,0.5824920766341702,1.6257600200880828,48
2026-01-30 20:00:00,2026-01-31 16:00:00,SHORT_SPREAD,MEAN_REVERT,0.9913167764921378,2.1725385879164394,-1.4704981150978538,0.1735020849859798,0.005599788830505358,2741.36,2532.61,84199.9,81268.6,19.80389924196299,-0.07901114210922183,0.7366533797015935,0.36832668985079675,18.619908030301378,20
2026-01-31 17:00:00,2026-02-02 17:00:00,LONG_SPREAD,TIME_STOP,1.1441734991796904,-1.7704587435078898,-1.096038830160097,0.26662782101943666,0.009422366534737327,2480.8,2357.05,80321.0,78588.8,-16.673769539683317,0.1921010901588913,1.1148847141922733,0.5574423570961367,-18.153995520812835,48
2026-02-03 18:00:00,2026-02-05 18:00:00,SHORT_SPREAD,TIME_STOP,1.4850441298818329,2.3308504633953038,0.8356871717053604,0.7257613736049713,0.03158300261070297,2194.32,1953.53,74882.4,66153.8,-100.9193154374405,-0.22170685655578468,2.9858783945244025,1.4929391972622013,-105.6198398857829,48
2026-02-05 19:00:00,2026-02-07 19:00:00,SHORT_SPREAD,TIME_STOP,1.3319417478736026,2.378717644125144,1.106350662929255,0.4275497589293561,0.016735453005699723,1948.76,2096.06,66312.1,69475.0,-10.045515178566582,0.042732484930810416,1.6007281786971548,0.8003640893485774,-12.403874961681502,48
2026-02-08 18:00:00,2026-02-08 21:00:00,SHORT_SPREAD,MEAN_REVERT,1.014067382575508,1.6084444485695242,-0.12533875527185215,0.3463928252950603,0.010381377283497379,2091.09,2103.49,70754.4,70801.5,-3.806308163605835,0.0,1.1690070486924724,0.5845035243462362,-5.5598187366445435,3
2026-02-09 01:00:00,2026-02-10 05:00:00,SHORT_SPREAD,MEAN_REVERT,1.0297368802320999,2.3942274347056682,-0.6303750859553567,1.4988673757978141,0.04563579232071103,2083.15,2069.54,70453.8,69800.5,-9.414278138512206,0.4161684007302334,5.049979067875411,2.5249895339377053,-16.57307833959509,28
2026-02-10 08:00:00,2026-02-11 16:00:00,LONG_SPREAD,MEAN_REVERT,1.1455248730387755,-3.430192809969373,0.021612539178664732,1.7373776921587234,0.05796097379561108,2006.06,1928.04,68882.2,66489.4,3.1388105559148016,1.058294916638654,5.872514935596632,2.936257467798316,-4.611666930841492,32
2026-02-12 19:00:00,2026-02-13 17:00:00,SHORT_SPREAD,MEAN_REVERT,0.9935331671014102,3.1715171761506733,-0.24305178887331458,1.6550600312366675,0.04809462279707265,1917.5,2060.58,65559.4,68920.9,-75.13591473698256,0.0,5.220696204479652,2.610348102239826,-82.96695904370203,22
2026-02-14 20:00:00,2026-02-16 17:00:00,LONG_SPREAD,MEAN_REVERT,1.0919821261126128,-1.8249389532099287,0.5818667488731716,0.43024288484622014,0.014039660606079016,2087.31,1972.73,69848.9,67854.1,-21.290914768673613,0.08235518836120276,1.4720426826519786,0.7360213413259893,-23.41662360429038,45
2026-02-18 19:00:00,2026-02-19 17:00:00,SHORT_SPREAD,MEAN_REVERT,1.1083522309504368,1.52120881290761,-0.984021352348364,0.5317081180324025,0.017338002086075763,1951.37,1920.96,66327.2,66267.6,15.135898945035319,-0.06210865164741366,1.7431512862812848,0.8715756431406424,12.459063363965978,22
2026-02-20 20:00:00,2026-02-22 20:00:00,SHORT_SPREAD,TIME_STOP,1.0459816281384067,2.1491905504032447,1.9335001282773001,0.5363359115699491,0.016285616712333237,1962.89,1942.81,67616.5,67402.1,7.277988881200509,-0.07987232764257327,1.7174513353818348,0.8587256676909174,4.621939550485183,48
2026-02-22 21:00:00,2026-02-23 03:00:00,SHORT_SPREAD,MEAN_REVERT,0.9458023104088854,1.8259067028331937,-1.699406070503966,0.5019460839261524,0.01366988527849691,1940.02,1861.45,67375.0,64742.5,3.45193081843464,0.0,1.4856656191778264,0.7428328095889132,1.2234323896679005,6
2026-02-23 04:00:00,2026-02-25 04:00:00,LONG_SPREAD,TIME_STOP,1.0401871375871674,-1.5229079105212224,-3.041011510823065,0.5098692946901714,0.015208807444543015,1860.93,1905.38,64894.1,65361.7,15.55205178790985,0.29154821781179235,1.5605444816077783,0.7802722408038891,13.502783283309975,48
2026-02-25 05:00:00,2026-02-27 05:00:00,LONG_SPREAD,TIME_STOP,1.1349972354629196,-2.7254218747337915,-2.419974193975534,1.2639930789193428,0.0417754355469799,1905.22,2041.79,65428.0,67709.1,77.32958876179846,-0.4071374142451184,4.220341464954902,2.110170732477451,70.591939150121,48
2026-02-27 06:00:00,2026-02-28 08:00:00,LONG_SPREAD,MEAN_REVERT,1.2416360748831712,-2.3598186729817683,0.5786875523911337,0.6228673871968977,0.02331670919271653,2040.68,1865.37,67685.8,63787.4,-18.297022532602085,0.10482620403934795,2.1993894115185206,1.0996947057592603,-21.491280445840516,26
2026-02-28 16:00:00,2026-03-01 04:00:00,SHORT_SPREAD,MEAN_REVERT,1.1619613501741517,2.0760857731232116,-0.017922104267814494,0.5799288225214285,0.01973487033360323,1897.77,2022.29,64800.1,67474.8,-19.42787929907962,0.0,1.9535135119614742,0.9767567559807371,-22.358149567021833,12
2026-03-02 16:00:00,2026-03-03 08:00:00,SHORT_SPREAD,MEAN_REVERT,1.159093876819073,1.7507610911940996,-0.26099762830517426,0.6419509209275865,0.022039376669062485,2046.39,1995.27,69089.1,68138.2,11.859287803206588,0.008814458515265432,2.2475806052218514,1.1237903026109257,8.496731353889077,16
2026-03-03 20:00:00,2026-03-04 18:00:00,SHORT_SPREAD,MEAN_REVERT,1.163865456102368,1.5738691235922444,-0.29354744587301,1.0405275023584983,0.03514935934404734,1985.14,2144.82,68395.9,73174.3,1.8062671129910086,0.024056266586664793,3.7093755183396615,1.8546877591698308,-3.7337398979318186,22
2026-03-05 16:00:00,2026-03-06 10:00:00,LONG_SPREAD,MEAN_REVERT,1.1975317053373276,-2.649201782763451,0.2922467265775361,1.4810928251313236,0.05166785569784963,2086.1,2058.71,71611.7,70521.3,15.771497372588172,0.0,5.393022274574009,2.6965111372870045,7.68196396072716,18
2026-03-06 16:00:00,2026-03-07 22:00:00,LONG_SPREAD,MEAN_REVERT,1.2038037928913312,-2.213654191495917,0.14702094646492014,1.1837645043858998,0.0411349255672681,1976.42,1969.41,68468.3,67416.3,34.975752521020894,0.0,4.104214560431606,2.052107280215803,28.819430680373483,30
2026-03-08 11:00:00,2026-03-10 11:00:00,SHORT_SPREAD,TIME_STOP,1.1901498876610308,1.5398408877705307,1.648545733811578,0.5162105909790606,0.01786110888370944,1973.11,2061.68,67869.0,70737.6,5.515604900793633,-0.15968506588572817,1.8233875619908662,0.9116937809954331,2.6208384919216057,48
2026-03-10 12:00:00,2026-03-12 01:00:00,SHORT_SPREAD,MEAN_REVERT,0.9938433383431857,1.615388706523587,-0.13116747179244792,0.2064773937236924,0.005992378418595174,2060.77,2054.61,70570.1,70176.9,-1.0843024488537767,0.081891864885465,0.6772568887458497,0.33862844437292483,-2.0182959170870864,37
2026-03-12 08:00:00,2026-03-12 16:00:00,SHORT_SPREAD,MEAN_REVERT,0.9613932702133098,2.1619814679171743,-0.5474584933966451,1.719508797923816,0.04832014905523489,2039.72,2071.39,69782.7,70282.8,-30.291937087723735,0.19581501303423152,5.534830260691432,2.767415130345716,-38.39836746572666,8
2026-03-12 17:00:00,2026-03-13 01:00:00,LONG_SPREAD,MEAN_REVERT,1.0046327763021514,-2.266549218254862,0.13126931578721576,1.8911589218813027,0.055887587099494804,2068.76,2118.16,70328.3,71443.4,31.103002366289502,0.0,6.336563738078685,3.1682818690393426,21.598156759171474,8
2026-03-13 02:00:00,2026-03-15 02:00:00,LONG_SPREAD,TIME_STOP,1.0228760861853823,-2.7929681769207826,-0.8079456568151094,2.0549193069376415,0.062327162999575504,2124.0,2087.2,71630.0,70960.8,-33.911693015989826,-0.07541678271836028,7.016382487686267,3.5081912438431333,-44.51168353023759,48
2026-03-15 15:00:00,2026-03-17 00:00:00,LONG_SPREAD,MEAN_REVERT,1.296746791848195,-2.4334173299991115,0.20706644775888006,0.9498549646989738,0.036063999479864356,2096.05,2351.66,71588.0,74846.4,125.28149162151458,-0.27207765644136284,3.8022758201902085,1.9011379100951042,119.3060002347879,33
2026-03-17 16:00:00,2026-03-18 14:00:00,SHORT_SPREAD,MEAN_REVERT,1.1964178448195373,2.4459358174855232,-0.36106457871538383,0.35389480581504046,0.013265693550430101,2314.68,2234.65,73878.5,72104.5,4.7888609509145965,0.0,1.4186199994043902,0.7093099997021951,2.6609309518080115,22
2026-03-18 23:00:00,2026-03-19 05:00:00,LONG_SPREAD,MEAN_REVERT,1.3184045510777274,-1.5251001363090124,0.9901046169686575,0.33595504163913686,0.013660817559821004,2193.44,2192.49,71117.9,70790.7,4.150662216016121,-0.0066624796596949625,1.364825116218382,0.682412558109191,2.096762062028853,6
2026-03-20 16:00:00,2026-03-21 13:00:00,LONG_SPREAD,MEAN_REVERT,1.3040220069325819,-1.5165667921055728,0.17853125202850245,0.3730367827580419,0.014859589940013494,2133.09,2156.96,69829.5,70680.0,-3.7336932395470566,-0.05096014791494845,1.4753040010189857,0.7376520005094929,-5.997609388990484,21
2026-03-21 16:00:00,2026-03-22 01:00:00,SHORT_SPREAD,MEAN_REVERT,1.1719223821399416,3.31250200355339,-0.5159415832272222,1.8850181728219462,0.06740798220881691,2154.25,2086.25,70599.1,68904.5,13.951669100830799,0.0,6.958830299486951,3.4794151497434753,3.5134236516003727,9
2026-03-23 09:00:00,2026-03-23 13:00:00,SHORT_SPREAD,MEAN_REVERT,1.165831833252392,1.6518771598753923,-2.4929554060008754,0.37469906704601674,0.013072154347520239,2046.85,2143.0,68400.2,70710.0,-5.8332531845722535,0.0,1.3553611567108652,0.6776805783554326,-7.866294919638551,4
2026-03-23 14:00:00,2026-03-24 18:00:00,LONG_SPREAD,MEAN_REVERT,1.2979188035552136,-1.6390119850138436,0.03107750650885522,0.3036109491232921,0.012049335268771035,2184.74,2108.38,71449.9,69205.0,3.8658206698095405,0.03486860168451291,1.1992945140782603,0.5996472570391301,2.101747500376663,28
2026-03-25 13:00:00,2026-03-26 08:00:00,SHORT_SPREAD,MEAN_REVERT,1.2346554367832037,1.5536711311534552,-0.04849518772079915,0.32910739811991574,0.012369757557008058,2182.27,2122.36,71685.4,70053.8,-0.4656722086501368,0.0,1.2679860477972837,0.6339930238986419,-2.3676512803460623,19
