bar,bar_offset,pred_dir,actual_dir,dir_correct,pct_err,pred_vol,actual_vol,vol_ratio,close,rsi,trend,vol_pct
952,3,-1,1,False,0.7696975665725495,1400.2031,522.989999999998,2.6773038203407435,57635.99,62.71825013588978,UPTREND,4.0
952,4,-1,-1,True,0.6175746288029332,1092.293,1068.6800000000003,1.0220954530355202,56819.55,62.71825013588978,UPTREND,4.0
952,5,-1,-1,True,0.6024959444209338,1138.6445,719.5599999999977,1.582417770929462,56712.0,62.71825013588978,UPTREND,4.0
976,0,-1,-1,True,0.09984300884712577,1473.3906,550.0199999999968,2.6787946347405707,59706.39,62.538922939848845,UPTREND,57.99999999999999
976,1,-1,-1,True,0.7828809748480192,1679.7578,383.98999999999796,4.374483222219352,59876.0,62.538922939848845,UPTREND,57.99999999999999
976,2,-1,-1,True,0.7665550284233406,1735.5742,583.3899999999994,2.97498109112258,59810.0,62.538922939848845,UPTREND,57.99999999999999
976,3,-1,-1,True,1.1637268529360807,1187.6055,360.1299999999974,3.297713238969285,59993.03,62.538922939848845,UPTREND,57.99999999999999
976,4,-1,1,False,1.9362186113654967,1305.4961,294.04999999999563,4.439707851555924,60155.93,62.538922939848845,UPTREND,57.99999999999999
976,5,-1,1,False,2.559341307977274,2059.6328,183.09999999999854,11.248677293828598,60196.0,62.538922939848845,UPTREND,57.99999999999999
1000,0,-1,-1,True,0.9190972976472948,1285.4258,1079.1300000000047,1.1911686092037053,59846.0,54.14098042759881,UPTREND,72.0
1000,1,-1,-1,True,1.5692385878452297,1126.3203,851.3899999999994,1.3229193583434158,59429.18,54.14098042759881,UPTREND,72.0
1000,2,-1,-1,True,0.1683890748758026,1357.3633,2143.7999999999956,0.6331576085688977,60057.99,54.14098042759881,UPTREND,72.0
1000,3,-1,1,False,2.7420945886649237,959.4375,2312.5599999999977,0.41488112740858657,61759.99,54.14098042759881,UPTREND,72.0
1000,4,-1,1,False,3.6086217233526034,1627.1719,1034.5199999999968,1.5728761889572025,62117.99,54.14098042759881,UPTREND,72.0
1000,5,-1,1,False,4.0510062346613545,1208.0898,365.98999999999796,3.3008821108500417,62093.99,54.14098042759881,UPTREND,72.0
1024,0,-1,-1,True,0.133232093367737,900.9961,490.04999999999563,1.8385799280685808,62784.0,56.01420732655338,UPTREND,24.0
1024,1,-1,-1,True,0.01786102768749504,809.8125,500.8399999999965,1.6169085935628258,62652.12,56.01420732655338,UPTREND,24.0
1024,2,-1,1,False,0.9522443001899937,937.3086,761.489999999998,1.2308875937307155,63160.0,56.01420732655338,UPTREND,24.0
